id,utterance,label
ds10k-00001,Act out being angry.,motion_query
ds10k-00002,Point to the drawer. (variant 576),motion_query
ds10k-00003,What should I know about classical music ?,chat
ds10k-00004,Help me understand resume writing in detail.,chat
ds10k-00005,What are the benefits of climate change? (variant 1891),chat
ds10k-00006,How do I fix procrastination? (variant 865),chat
ds10k-00007,show me the exit sign in the conference room.,motion_query
ds10k-00008,Look at the door. (variant 1122),motion_query
ds10k-00009,What should I know about vaccines step by step?,chat
ds10k-00010,Help me understand critical thinking briefly.,chat
ds10k-00011,Stay where you are. (variant 1460),motion_query
ds10k-00012,How can I learn natural language processing? (variant 2030),chat
ds10k-00013,When was the microscope discovered? (variant 1114),chat
ds10k-00014,Point to the exit sign.,motion_query
ds10k-00015,Walk to the doorway. (variant 980),motion_query
ds10k-00016,Perform a bow for me. (variant 1062),motion_query
ds10k-00017,Guide me through the classroom. (variant 1433),motion_query
ds10k-00018,Can you show me the window in the hallway.,motion_query
ds10k-00019,Help me understand cryptography in one paragraph.,chat
ds10k-00020,Rotate toward the audience. (variant 1615),motion_query
ds10k-00021,Shake your head if you disagree. (variant 278),motion_query
ds10k-00022,Move to the conference room. (variant 189),motion_query
ds10k-00023,Please point at the whiteboard. (variant 865),motion_query
ds10k-00024,Recommend resources for cryptography. (variant 1326),chat
ds10k-00025,Give me advice about machine learning. (variant 904),chat
ds10k-00026,"I'm feeling stressed, any advice?",chat
ds10k-00027,Grab the book with your right hand.,motion_query
ds10k-00028,Help me understand stress management with examples.,chat
ds10k-00029,Describe the main ideas behind renewable energy. (variant 1399),chat
ds10k-00030,What time does the store close?,chat
ds10k-00031,Can you wave at me? (variant 363),motion_query
ds10k-00032,Can you move the exit sign to the workbench.,motion_query
ds10k-00033,Can you recommend a movie to watch tonight?,chat
ds10k-00034,Give me advice about supply chains. (variant 1456),chat
ds10k-00035,I need help with resume writing for my homework. (variant 202),chat
ds10k-00036,Can you explain probability in simple terms? (variant 347),chat
ds10k-00037,Bend over and pick up the pen.,motion_query
ds10k-00038,Who invented the camera? (variant 1297),chat
ds10k-00039,Put the marker on the table. (variant 552),motion_query
ds10k-00040,What is probability? (variant 253),chat
ds10k-00041,Can you move the chair to the doorway.,motion_query
ds10k-00042,move the blue cup to the conference room.,motion_query
ds10k-00043,Guide me through the lobby.,motion_query
ds10k-00044,Perform a kneel for me. (variant 450),motion_query
ds10k-00045,Give me advice about blockchain. (variant 1686),chat
ds10k-00046,Can you show me the fire extinguisher in the hallway.,motion_query
ds10k-00047,Explain sleep hygiene in detail.,chat
ds10k-00048,Explain classical music for a beginner. (variant 1308),chat
ds10k-00049,Demonstrate how to open a jar. (variant 1275),motion_query
ds10k-00050,Can you move the whiteboard to the kitchen.,motion_query
ds10k-00051,Put the exit sign on the table. (variant 804),motion_query
ds10k-00052,Look at the first aid kit. (variant 258),motion_query
