id,original_id,split,target_prefix_ratio,visible_ratio,prefix_tokens,total_tokens,hidden_tokens,prefix_utterance,masked_utterance,full_utterance,full_label,label,label_source
deepseek3000-00072__p020,deepseek3000-00072,train,0.20,0.222222,2,9,7,What would,What would <MASK> <MASK> <MASK> <MASK> <MASK> <MASK> <MASK>,What would you do if you encountered a staircase?,chat,chat,text_cue_seen
deepseek3000-00072__p040,deepseek3000-00072,train,0.40,0.444444,4,9,5,What would you do,What would you do <MASK> <MASK> <MASK> <MASK> <MASK>,What would you do if you encountered a staircase?,chat,chat,text_cue_seen
deepseek3000-00072__p060,deepseek3000-00072,train,0.60,0.666667,6,9,3,What would you do if you,What would you do if you <MASK> <MASK> <MASK>,What would you do if you encountered a staircase?,chat,chat,text_cue_seen
deepseek3000-00072__p080,deepseek3000-00072,train,0.80,0.888889,8,9,1,What would you do if you encountered a,What would you do if you encountered a <MASK>,What would you do if you encountered a staircase?,chat,chat,text_cue_seen
deepseek3000-00072__p100,deepseek3000-00072,train,1.00,1.000000,9,9,0,What would you do if you encountered a staircase?,What would you do if you encountered a staircase?,What would you do if you encountered a staircase?,chat,chat,complete_input
deepseek3000-02267__p020,deepseek3000-02267,train,0.20,0.500000,1,2,1,Come,Come <MASK>,Come closer.,motion_query,wait,motion_cue_not_seen
deepseek3000-02267__p040,deepseek3000-02267,train,0.40,0.500000,1,2,1,Come,Come <MASK>,Come closer.,motion_query,wait,motion_cue_not_seen
deepseek3000-02267__p060,deepseek3000-02267,train,0.60,1.000000,2,2,0,Come closer.,Come closer.,Come closer.,motion_query,motion_query,complete_input
deepseek3000-02267__p080,deepseek3000-02267,train,0.80,1.000000,2,2,0,Come closer.,Come closer.,Come closer.,motion_query,motion_query,complete_input
deepseek3000-02267__p100,deepseek3000-02267,train,1.00,1.000000,2,2,0,Come closer.,Come closer.,Come closer.,motion_query,motion_query,complete_input
deepseek3000-02617__p020,deepseek3000-02617,train,0.20,0.333333,2,6,4,Demonstrate how,Demonstrate how <MASK> <MASK> <MASK> <MASK>,Demonstrate how to do jumping jacks.,motion_query,motion_query,motion_cue_seen
deepseek3000-02617__p040,deepseek3000-02617,train,0.40,0.500000,3,6,3,Demonstrate how to,Demonstrate how to <MASK> <MASK> <MASK>,Demonstrate how to do jumping jacks.,motion_query,motion_query,motion_cue_seen
deepseek3000-02617__p060,deepseek3000-02617,train,0.60,0.666667,4,6,2,Demonstrate how to do,Demonstrate how to do <MASK> <MASK>,Demonstrate how to do jumping jacks.,motion_query,motion_query,motion_cue_seen
